user_id,message,date,age
user_17821,"Lune Riboni, chercheuse en sciences de l’information et de la communication, revient sur l’évolution de la représentation des enfants de la migration, depuis le XIXème siècle.","2026-01-05 17:53:49 Paris, Madrid",9d 5h ago
user_17821,C'est en restant le même que Nicolas Cage est devenu un mème 🍿,"2026-01-05 16:04:57 Paris, Madrid",9d 7h ago
user_17821,"Maduro, du héros révolutionnaire à fossoyeur de la démocratie. Portrait du président vénézuélien enlevé par les États-Unis ⤵️","2026-01-05 12:04:43 Paris, Madrid",9d 11h ago
user_17821,« Anomalie - Le triangle des Bermudes de l'espace » un documentaire à retrouver sur ARTE 🛰️,"2026-01-05 10:34:38 Paris, Madrid",9d 12h ago
user_17821,Le triangle des Bermudes de l'espace : l'étrangeté qui inquiète les astronautes.,"2026-01-05 10:34:18 Paris, Madrid",9d 12h ago
user_17821,une bonne rentrée et haut les cœurs,"2026-01-04 18:00:06 Paris, Madrid",10d 5h ago
user_17821,"Si vous voulez croiser Orlando Bloom et Eva Green, rendez-vous ce soir. « Kingdom of Heaven » de Ridley Scott, à 20h55 sur nos antennes ⚔️","2026-01-04 10:00:00 Paris, Madrid",10d 13h ago
user_17821,"Les lois anti-avortement se sont intensément durcies, des femmes se sont vues refuser d'avorter alors que leur vie était mise en péril. Trois d'entre elles s'allient pour porter plainte contre l'Etat du Texas, ce film raconte leur combat.","2026-01-02 16:27:30 Paris, Madrid",12d 6h ago
user_17821,"La chanteuse éthiopienne Meseret met désormais sa voix au service de ses sœurs, victimes de viols de guerre 🇪🇹","2026-01-02 16:06:43 Paris, Madrid",12d 7h ago
user_17821,« Autour De Minuit » est à retrouver en entier sur YouTube 👇,"2026-01-02 11:50:43 Paris, Madrid",12d 11h ago
user_17821,"À Strasbourg, Sidonie a imaginé un refuge où l’on retrouve la chaleur du Cameroun, même à des milliers de kilomètres 👩‍🍳","2026-01-02 11:50:23 Paris, Madrid",12d 11h ago
user_17821,"Au Texas, des femmes se voient refuser un avortement, même pour raisons médicales.","2026-01-02 10:27:58 Paris, Madrid",12d 12h ago
user_17821,"Il l'est déjà, rendez-vous dès maintenant sur arte.tv","2026-01-01 17:23:05 Paris, Madrid",13d 5h ago
user_17821,"Nos meilleurs vœux pour 2026 ! « Origines, un conte de la lumière » un documentaire disponible sur ARTE et sur YouTube (en 4K) 👇 www.youtube.com/watch?v=EOzZ...","2026-01-01 12:06:13 Paris, Madrid",13d 11h ago
user_17821,"Oui les bonnes résolutions c’est super mais avez-vous vu toutes les résolutions sur notre documentaire « Origines, un conte de la lumière » ? 👀","2026-01-01 11:59:00 Paris, Madrid",13d 11h ago
user_17821,Découvrez les dix épisodes de la série « Los años nuevos » sur arte.tv ❤️,"2025-12-31 19:10:46 Paris, Madrid",14d 4h ago
user_17821,"L’heure des raisins a sonné. Faites vos vœux, c’est bientôt votre tour.","2025-12-31 19:08:52 Paris, Madrid",14d 4h ago
user_17821,"Pour la science, David Castello-Lopes s'est tapé des barres (protéinées) 💪","2025-12-31 11:00:07 Paris, Madrid",14d 12h ago
user_17821,"Quand on parle de racisme, il y a toujours un « mais » ⤵️","2025-12-30 16:34:31 Paris, Madrid",15d 6h ago
user_17821,Portrait d'un acteur à la carrière divine 😈,"2025-12-30 12:47:40 Paris, Madrid",15d 10h ago
user_17821,Un acteur aux multiples facettes. Laquelle est la vôtre ? 🎬,"2025-12-30 12:22:26 Paris, Madrid",15d 10h ago
user_17821,"Pour trouver de l'or, il faut remuer ciel et terre au sens propre 🪙","2025-12-30 10:53:04 Paris, Madrid",15d 12h ago
user_17821,"Sonia Devillers feuillette l’album photo du trumpisme au côté de l’historien Paul Schor, spécialiste des États-Unis, disponible sur arte.tv et Youtube ⤵️","2025-12-29 16:10:14 Paris, Madrid",16d 7h ago
user_17821,"Depuis son retour à la Maison Blanche, Trump impose une nouvelle esthétique, reposant sur une image de l’Amérique d’un autre temps.","2025-12-29 16:08:08 Paris, Madrid",16d 7h ago
user_17821,"La botte était faite en réglisse et Chaplin a dû être hospitalisé à la suite d'un choc insulinique... « La ruée vers l’or », un film pépite de Charlie Chaplin à retrouver sur ARTE ✨","2025-12-29 13:03:00 Paris, Madrid",16d 10h ago
